cod_entidad,cod_sector,Tipo de gasto,Entidad,Sector,Total
4104,41,Funcionamiento,Unidad de atención y reparación integral a las víctimas,Inclusión social y reconciliación,1839136100000
4104,41,Inversión,Unidad de atención y reparación integral a las víctimas,Inclusión social y reconciliación,2982614695496
4105,41,Funcionamiento,Centro de memoria histórica,Inclusión social y reconciliación,22978000000
4105,41,Inversión,Centro de memoria histórica,Inclusión social y reconciliación,72107972103
4106,41,Funcionamiento,Instituto colombiano de bienestar familiar,Inclusión social y reconciliación,1481811657000
4106,41,Inversión,Instituto colombiano de bienestar familiar,Inclusión social y reconciliación,10792239206109
4201,42,Funcionamiento,Departamento administrativo dirección nacional de inteligencia,Inteligencia,164508000000
4201,42,Inversión,Departamento administrativo dirección nacional de inteligencia,Inteligencia,23154858491
4301,43,Funcionamiento,Ministerio del deporte,Deporte y recreación,54990656148
4301,43,Inversión,Ministerio del deporte,Deporte y recreación,246221188914
4401,44,Funcionamiento,Jurisdicción especial para la paz,"Sistema integral de verdad, justicia, reparación y no repetición",603424000000
4401,44,Inversión,Jurisdicción especial para la paz,"Sistema integral de verdad, justicia, reparación y no repetición",189521300973
4403,44,Funcionamiento,Unidad de búsqueda de personas dadas por desaparecidas en el contexto y en razón del conflicto armado (ubpd),"Sistema integral de verdad, justicia, reparación y no repetición",125445000000
4403,44,Inversión,Unidad de búsqueda de personas dadas por desaparecidas en el contexto y en razón del conflicto armado (ubpd),"Sistema integral de verdad, justicia, reparación y no repetición",76273000000
4601,46,Funcionamiento,Ministerio de la igualdad y la equidad,Igualdad y equidad,121590671000
