cod_entidad,cod_sector,Tipo de gasto,Entidad,Sector,Total
2239,22,Funcionamiento,Instituto nacional de formación técnica profesional de san juan del cesar,Educación,11575493683
2239,22,Inversión,Instituto nacional de formación técnica profesional de san juan del cesar,Educación,17530267447
2241,22,Funcionamiento,Instituto tolimense de formación técnica profesional,Educación,27040337000
2241,22,Inversión,Instituto tolimense de formación técnica profesional,Educación,10503220324
2242,22,Funcionamiento,"Instituto técnico nacional de comercio ""simón rodríguez"" de cali",Educación,15882467642
2242,22,Inversión,"Instituto técnico nacional de comercio ""simón rodríguez"" de cali",Educación,12152395223
2246,22,Funcionamiento,Unidad administrativa especial alimentación escolar,Educación,16791878078
2246,22,Inversión,Unidad administrativa especial alimentación escolar,Educación,3174521829231
2257,22,Funcionamiento,Entes autónomos universitarios estatales - universidades públicas,Educación,9799840683000
2257,22,Inversión,Entes autónomos universitarios estatales - universidades públicas,Educación,212257616364
2301,23,Funcionamiento,Ministerio de tecnologías de la información y las comunicaciones,Tecnologías de la información y las comunicaciones,129058073539
2306,23,Funcionamiento,Fondo único de tecnologías de la información y las comunicaciones,Tecnologías de la información y las comunicaciones,549460499000
2306,23,Inversión,Fondo único de tecnologías de la información y las comunicaciones,Tecnologías de la información y las comunicaciones,1781387296785
2308,23,Funcionamiento,Unidad administrativa especial comisión de regulación de las comunicaciones ,Tecnologías de la información y las comunicaciones,42793571551
2308,23,Inversión,Unidad administrativa especial comisión de regulación de las comunicaciones ,Tecnologías de la información y las comunicaciones,18470208000
2309,23,Funcionamiento,Agencia nacional del espectro - ane,Tecnologías de la información y las comunicaciones,26138461986
2309,23,Inversión,Agencia nacional del espectro - ane,Tecnologías de la información y las comunicaciones,23452336014
2311,23,Funcionamiento,Computadores para educar cpe,Tecnologías de la información y las comunicaciones,32988361000
2311,23,Inversión,Computadores para educar cpe,Tecnologías de la información y las comunicaciones,33001616000
2312,23,Funcionamiento,Corporación agencia nacional de gobierno digital - and,Tecnologías de la información y las comunicaciones,6551927183
2312,23,Inversión,Corporación agencia nacional de gobierno digital - and,Tecnologías de la información y las comunicaciones,151177403465
2401,24,Funcionamiento,Ministerio de transporte,Transporte,246695824883
2401,24,Deuda,Ministerio de transporte,Transporte,6797215826
2401,24,Inversión,Ministerio de transporte,Transporte,152859597920
2402,24,Funcionamiento,Instituto nacional de vías,Transporte,529175066000
2402,24,Deuda,Instituto nacional de vías,Transporte,601876014
2402,24,Inversión,Instituto nacional de vías,Transporte,5525114412210
2412,24,Funcionamiento,Unidad administrativa especial de la aeronáutica civil,Transporte,1171031913735
2412,24,Deuda,Unidad administrativa especial de la aeronáutica civil,Transporte,14550000000
2412,24,Inversión,Unidad administrativa especial de la aeronáutica civil,Transporte,2861239156611
2413,24,Funcionamiento,Agencia nacional de infraestructura,Transporte,147152070063
2413,24,Deuda,Agencia nacional de infraestructura,Transporte,2490771107743
2413,24,Inversión,Agencia nacional de infraestructura,Transporte,7226980903121
