Año,Sector,Código de sector,Entidad,Código de entidad,Tipo de gasto,Apropiación a precios corrientes,Apropiación a precios constantes (2026)
2013,Justicia y del derecho,12,Superintendencia de notariado y registro,1204,Funcionamiento,374715717755.0,740105931221.9795
2013,Justicia y del derecho,12,Superintendencia de notariado y registro,1204,Inversión,355311000000.0,701779418552.0361
2013,Justicia y del derecho,12,Instituto nacional penitenciario y carcelario - inpec,1208,Funcionamiento,886834038549.0,1751597546726.8708
2013,Justicia y del derecho,12,Instituto nacional penitenciario y carcelario - inpec,1208,Inversión,4430632570.0,8751000528.52941
2013,Justicia y del derecho,12,Dirección nacional de estupefacientes en liquidación,1209,Funcionamiento,231492057800.0,457223001039.36646
2013,Justicia y del derecho,12,Dirección nacional de estupefacientes en liquidación,1209,Inversión,59808000000.0,118127565610.85973
2013,Justicia y del derecho,12,Unidad administrativa especial agencia nacional de defensa jurídica del estado,1210,Funcionamiento,24839769682.0,49061355050.64705
2013,Justicia y del derecho,12,Unidad administrativa especial agencia nacional de defensa jurídica del estado,1210,Inversión,1072000000.0,2117321266.9683256
2013,Justicia y del derecho,12,Unidad de servicios penitenciarios y carcelarios - uspec,1211,Funcionamiento,381636487014.0,753775233400.9546
2013,Justicia y del derecho,12,Unidad de servicios penitenciarios y carcelarios - uspec,1211,Inversión,124900515028.0,246692646197.83707
2013,Hacienda,13,Ministerio de hacienda y crédito público,1301,Funcionamiento,10196721395655.0,20139678231689.625
2013,Hacienda,13,Ministerio de hacienda y crédito público,1301,Inversión,1281520325472.0,2531147611169.8096
2013,Hacienda,13,Unidad administrativa especial contaduría general de la nación,1308,Funcionamiento,9968562438.0,19689038480.48416
2013,Hacienda,13,Unidad administrativa especial contaduría general de la nación,1308,Inversión,8925290168.0,17628457730.00905
2013,Hacienda,13,Superintendencia de la economía solidaria,1309,Funcionamiento,8003640406.0,15808095191.036196
2013,Defensa y policía,15,Caja de retiro de las fuerzas militares,1503,Funcionamiento,1755362257450.0,3467039028854.864
2013,Defensa y policía,15,Ministerio de defensa nacional,1501,Inversión,2372393000000.0,4685744545248.868
2013,Defensa y policía,15,Ministerio de defensa nacional,1501,Funcionamiento,10273024534968.0,20290385563409.645
2013,Servicio de la deuda pública nacional,14,Servicio de la deuda pública nacional,1401,Deuda,45109198935564.0,89095770748297.2
2013,Hacienda,13,Fondo adaptación,1315,Inversión,1860000000000.0,3673710407239.8184
2013,Hacienda,13,Fondo adaptación,1315,Funcionamiento,20643000000.0,40772260180.99547
2013,Relaciones exteriores,11,Unidad administrativa especial migración colombia,1104,Funcionamiento,70433000000.0,139113142533.9366
2013,Hacienda,13,Unidad administrativa especial de gestión  pensional y contribuciones parafiscales de la protección social (ugppp),1314,Inversión,6450000000.0,12739479638.009048
2013,Hacienda,13,Superintendencia financiera de colombia,1313,Inversión,14897359000.0,29423969246.60633
2013,Hacienda,13,Superintendencia financiera de colombia,1313,Funcionamiento,165774000000.0,327422402714.93207
2013,Hacienda,13,Unidad de información y análisis financiero,1312,Funcionamiento,6676112721.0,13186077840.346151
2013,Hacienda,13,Unidad administrativa especial dirección de impuestos y aduanas nacionales,1310,Inversión,393499045796.0,777205128913.8188
2013,Hacienda,13,Unidad administrativa especial dirección de impuestos y aduanas nacionales,1310,Funcionamiento,1003604100000.0,1982231627375.5652
2013,Hacienda,13,Superintendencia de la economía solidaria,1309,Inversión,4041000000.0,7981432126.696831
2013,Hacienda,13,Unidad administrativa especial de gestión  pensional y contribuciones parafiscales de la protección social (ugppp),1314,Funcionamiento,167013000000.0,329869567873.3031
2013,Defensa y policía,15,Caja de retiro de las fuerzas militares,1503,Inversión,9040000000.0,17855022624.434387
2013,Relaciones exteriores,11,Fondo rotatorio del ministerio de relaciones exteriores,1102,Inversión,48255000000.0,95309083710.40724
2013,Relaciones exteriores,11,Ministerio de relaciones exteriores,1101,Funcionamiento,234237000000.0,462644572398.18994
2013,Tecnologías de la información y las comunicaciones,23,Ministerio de tecnologías de la información y las comunicaciones,2301,Funcionamiento,64534400000.0,127462740271.4932
2013,Congreso de la república,1,Congreso de la república,101,Inversión,71142317260.0,140514124361.94568
2013,Presidencia de la república,2,Presidencia de la república,201,Funcionamiento,153380609752.0,302944055007.9094
2013,Presidencia de la república,2,Presidencia de la república,201,Inversión,105666752705.0,208703789844.9434
2013,Presidencia de la república,2,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",209,Funcionamiento,23052000000.0,45530307692.307686
2013,Presidencia de la república,2,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",209,Inversión,50153000000.0,99057848416.28958
2013,Presidencia de la república,2,Unidad nacional para la gestión del riesgo de desastres,211,Funcionamiento,30449000000.0,60140219457.013565
