Año,Ingreso,Ingreso_alt,Ingreso específico,Valor,Valor a precios constantes (2026)
2019,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,RECURSOS DE CAPITAL,2770623716133.0,4194371972573.599
2019,INGRESOS DEL PRESUPUESTO NACIONAL,CONTRIBUCIONES PARAFISCALES DE LA NACIÓN,CONTRIBUCIONES PARAFISCALES DE LA NACIÓN,2085384000000.0,3157006182658.9595
2019,INGRESOS DEL PRESUPUESTO NACIONAL,FONDOS ESPECIALES DE LA NACIÓN,FONDOS ESPECIALES DE LA NACIÓN,11075690159323.0,16767186431946.205
2019,INGRESOS DEL PRESUPUESTO NACIONAL,INGRESOS CORRIENTES DE LA NACIÓN,INGRESOS CORRIENTES DE LA NACIÓN,144774580000000.0,219170303479768.78
2019,INGRESOS DEL PRESUPUESTO NACIONAL,RECURSOS DE CAPITAL DE LA NACIÓN,RECURSOS DE CAPITAL DE LA NACIÓN,71881934449246.0,108820107700910.56
2020,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,CONTRIBUCIONES PARAFISCALES DE LOS ESTABLECIMIENTOS PÚBLICOS,3816394000000.0,5685515293515.357
2020,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,FONDOS ESPECIALES ESTABLECIMIENTOS PÚBLICOS,751413947000.0,1119427262339.5903
2020,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS CORRIENTES,9334305868464.0,13905885705066.674
2020,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,RECURSOS DE CAPITAL,2581101870308.0,3845225141260.894
2020,INGRESOS DEL PRESUPUESTO NACIONAL,CONTRIBUCIONES PARAFISCALES DE LA NACIÓN,CONTRIBUCIONES PARAFISCALES DE LA NACIÓN,2246823131586.0,3347229682379.8257
2020,INGRESOS DEL PRESUPUESTO NACIONAL,FONDOS ESPECIALES DE LA NACIÓN,FONDOS ESPECIALES DE LA NACIÓN,12351401246435.0,18400637010473.984
2020,INGRESOS DEL PRESUPUESTO NACIONAL,INGRESOS CORRIENTES DE LA NACIÓN,INGRESOS CORRIENTES DE LA NACIÓN,159366960000000.0,237418696382252.53
2020,INGRESOS DEL PRESUPUESTO NACIONAL,RECURSOS DE CAPITAL DE LA NACIÓN,RECURSOS DE CAPITAL DE LA NACIÓN,81265594647948.0,121066321036960.06
2021,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,CONTRIBUCIONES PARAFISCALES DE LOS ESTABLECIMIENTOS PÚBLICOS,3948349857835.0,5569012625977.846
2021,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,FONDOS ESPECIALES ESTABLECIMIENTOS PÚBLICOS,647761509321.0,913645485815.4736
2021,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS CORRIENTES,10465355744683.0,14761026853240.16
2021,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,RECURSOS DE CAPITAL,3261865957165.0,4600750529655.398
2021,INGRESOS DEL PRESUPUESTO NACIONAL,CONTRIBUCIONES PARAFISCALES DE LA NACIÓN,CONTRIBUCIONES PARAFISCALES DE LA NACIÓN,2416062836363.0,3407774114586.498
2021,INGRESOS DEL PRESUPUESTO NACIONAL,FONDOS ESPECIALES DE LA NACIÓN,FONDOS ESPECIALES DE LA NACIÓN,14879512860741.0,20987044708166.594
2021,INGRESOS DEL PRESUPUESTO NACIONAL,INGRESOS CORRIENTES DE LA NACIÓN,INGRESOS CORRIENTES DE LA NACIÓN,154245594000000.0,217558142367471.44
2021,INGRESOS DEL PRESUPUESTO NACIONAL,RECURSOS DE CAPITAL DE LA NACIÓN,RECURSOS DE CAPITAL DE LA NACIÓN,124133511278743.0,175086078110956.56
2022,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,CONTRIBUCIONES PARAFISCALES DE LOS ESTABLECIMIENTOS PÚBLICOS,4046805426671.0,5045743114711.426
2022,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,FONDOS ESPECIALES ESTABLECIMIENTOS PÚBLICOS,627891025800.0,782883407079.362
2022,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS CORRIENTES,10726859230069.0,13374741406117.93
2022,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,RECURSOS DE CAPITAL,2971548606023.0,3705063460687.5684
