ENTIDAD,CONCEPTO,NACION,PROPIOS,TOTAL,Tipo de gasto,Código de entidad,Código de sector,Sector,TOTAL %
Agencia nacional de infraestructura,Servicio de la deuda,7118876.1,0.0,7118876.1,Servicio de la deuda,2413,24,Transporte,1.3466702478213526
Agencia nacional de infraestructura,Transferencias,10966.7,224.0,11190.7,Funcionamiento,2413,24,Transporte,0.002116932859990977
Agencia nacional de infraestructura,"Tributos, multas, sanciones, interés",0.0,316.9,316.9,Funcionamiento,2413,24,Transporte,5.994763717472013e-05
Agencia nacional de seguridad vial,Adquisicion de activos financieros,0.0,0.0,0.0,Funcionamiento,2416,24,Transporte,0.0
Agencia nacional de seguridad vial,Adquisición de bienes y servicios,0.0,6824.6,6824.6,Funcionamiento,2416,24,Transporte,0.0012910023498346325
Agencia nacional de seguridad vial,Disminución de pasivos,0.0,0.0,0.0,Funcionamiento,2416,24,Transporte,0.0
Agencia nacional de seguridad vial,Gastos comerc. y produccion,0.0,0.0,0.0,Funcionamiento,2416,24,Transporte,0.0
Agencia nacional de seguridad vial,Gastos de personal,0.0,22148.0,22148.0,Funcionamiento,2416,24,Transporte,0.004189713689320611
Agencia nacional de seguridad vial,Inversion,0.0,174455.6,174455.6,Inversion,2416,24,Transporte,0.03300158097790504
Agencia nacional de seguridad vial,Servicio de la deuda,0.0,564.8,564.8,Servicio de la deuda,2416,24,Transporte,0.00010684261747012283
Agencia nacional de seguridad vial,Transferencias,0.0,300.8,300.8,Funcionamiento,2416,24,Transporte,5.690201723621274e-05
Agencia nacional de seguridad vial,"Tributos, multas, sanciones, interés",0.0,370.8,370.8,Funcionamiento,2416,24,Transporte,7.014384305581011e-05
Agencia nacional de minería - anm,Adquisicion de activos financieros,0.0,0.0,0.0,Funcionamiento,2112,21,Minas y energía,0.0
Agencia nacional de minería - anm,Adquisición de bienes y servicios,6908.1,37629.1,44537.2,Funcionamiento,2112,21,Minas y energía,0.008425054927036749
Agencia nacional de minería - anm,Disminución de pasivos,0.0,0.0,0.0,Funcionamiento,2112,21,Minas y energía,0.0
Agencia nacional de minería - anm,Gastos comerc. y produccion,0.0,0.0,0.0,Funcionamiento,2112,21,Minas y energía,0.0
Agencia nacional de minería - anm,Gastos de personal,33855.6,30298.6,64154.2,Funcionamiento,2112,21,Minas y energía,0.012135982028508773
Agencia nacional de minería - anm,Inversion,9199.9,107415.1,116615.0,Inversion,2112,21,Minas y energía,0.022059935970747836
Agencia nacional de minería - anm,Servicio de la deuda,0.0,0.0,0.0,Servicio de la deuda,2112,21,Minas y energía,0.0
Agencia nacional de minería - anm,Transferencias,0.0,45189.0,45189.0,Funcionamiento,2112,21,Minas y energía,0.008548355242311229
Agencia nacional de minería - anm,"Tributos, multas, sanciones, interés",0.0,671.5,671.5,Funcionamiento,2112,21,Minas y energía,0.00012702694339799487
Agencia nacional de tierras - ant,Adquisicion de activos financieros,0.0,0.0,0.0,Funcionamiento,1717,17,Agricultura y desarrollo rural,0.0
Agencia nacional de tierras - ant,Adquisición de bienes y servicios,40747.0,0.0,40747.0,Funcionamiento,1717,17,Agricultura y desarrollo rural,0.007708066809587635
Agencia nacional de tierras - ant,Disminución de pasivos,0.0,0.0,0.0,Funcionamiento,1717,17,Agricultura y desarrollo rural,0.0
Agencia nacional de tierras - ant,Gastos comerc. y produccion,0.0,0.0,0.0,Funcionamiento,1717,17,Agricultura y desarrollo rural,0.0
Agencia nacional de tierras - ant,Gastos de personal,37304.4,0.0,37304.4,Funcionamiento,1717,17,Agricultura y desarrollo rural,0.007056833815779836
