Sector,Código de sector,Entidad,Código de entidad,Tipo de gasto,Año,apropiacion_corrientes,Apropiación a precios corrientes
Hacienda,13,Unidad administrativa especial de gestión  pensional y contribuciones parafiscales de la protección social (ugppp),1314,Inversión,2025,7000000000.0,7000000000.0
Hacienda,13,Unidad administrativa especial dirección de impuestos y aduanas nacionales,1310,Funcionamiento,2025,4336363532000.0,4336363532000.0
Hacienda,13,Unidad administrativa especial dirección de impuestos y aduanas nacionales,1310,Inversión,2025,78629373000.0,78629373000.0
Hacienda,13,Unidad de información y análisis financiero,1312,Funcionamiento,2025,31256000000.0,31256000000.0
Hacienda,13,Unidad de información y análisis financiero,1312,Inversión,2025,5027100000.0,5027100000.0
Igualdad y equidad,46,Instituto colombiano de bienestar familiar (icbf),4602,Funcionamiento,2025,1151138129543.0,1151138129543.0
Igualdad y equidad,46,Instituto colombiano de bienestar familiar (icbf),4602,Inversión,2025,9539621582782.0,9539621582782.0
Igualdad y equidad,46,Instituto nacional para ciegos (inci),4601,Funcionamiento,2025,798523000000.0,798523000000.0
Igualdad y equidad,46,Instituto nacional para ciegos (inci),4601,Inversión,2025,498912000000.0,498912000000.0
Igualdad y equidad,46,Instituto nacional para ciegos (inci),4604,Funcionamiento,2025,8306001653.0,8306001653.0
Igualdad y equidad,46,Instituto nacional para ciegos (inci),4604,Inversión,2025,3764015576.0,3764015576.0
Igualdad y equidad,46,Instituto nacional para sordos (insor),4603,Funcionamiento,2025,8852229359.0,8852229359.0
Igualdad y equidad,46,Instituto nacional para sordos (insor),4603,Inversión,2025,8358622693.0,8358622693.0
Inclusión social y reconciliación,41,Centro de memoria histórica,4105,Funcionamiento,2025,18503458353.0,18503458353.0
Inclusión social y reconciliación,41,Centro de memoria histórica,4105,Inversión,2025,60905600185.0,60905600185.0
Inclusión social y reconciliación,41,Departamento administrativo para la prosperidad social,4101,Funcionamiento,2025,262123929351.0,262123929351.0
Inclusión social y reconciliación,41,Departamento administrativo para la prosperidad social,4101,Inversión,2025,5399606566879.0,5399606566879.0
Inclusión social y reconciliación,41,Unidad de atención y reparación integral a las víctimas,4104,Funcionamiento,2025,1822309711324.0,1822309711324.0
Inclusión social y reconciliación,41,Unidad de atención y reparación integral a las víctimas,4104,Inversión,2025,2488667165115.0,2488667165115.0
Información estadística,4,Departamento administrativo nacional de estadística (dane),401,Funcionamiento,2025,153718925120.0,153718925120.0
Información estadística,4,Departamento administrativo nacional de estadística (dane),401,Inversión,2025,194597506983.0,194597506983.0
Información estadística,4,Fondo rotatorio del dane,402,Funcionamiento,2025,2744000000.0,2744000000.0
Información estadística,4,Fondo rotatorio del dane,402,Inversión,2025,103542006932.0,103542006932.0
Información estadística,4,Instituto geográfico agustín codazzi - igac,403,Funcionamiento,2025,119056000000.0,119056000000.0
Información estadística,4,Instituto geográfico agustín codazzi - igac,403,Inversión,2025,600485461000.0,600485461000.0
Inteligencia,42,Departamento administrativo dirección nacional de inteligencia,4201,Funcionamiento,2025,155589000000.0,155589000000.0
Inteligencia,42,Departamento administrativo dirección nacional de inteligencia,4201,Inversión,2025,38231000000.0,38231000000.0
Interior,37,Corporación nacional para la reconstrucción de la cuenca del rio páez y zonas aledañas nasa ki we,3704,Funcionamiento,2025,4959010000.0,4959010000.0
Interior,37,Corporación nacional para la reconstrucción de la cuenca del rio páez y zonas aledañas nasa ki we,3704,Inversión,2025,10056384633.0,10056384633.0
Interior,37,Dirección nacional de bomberos,3709,Funcionamiento,2025,15484100000.0,15484100000.0
Interior,37,Dirección nacional de bomberos,3709,Inversión,2025,71906000000.0,71906000000.0
Interior,37,Dirección nacional del derecho de autor,3703,Funcionamiento,2025,7837900000.0,7837900000.0
Interior,37,Dirección nacional del derecho de autor,3703,Inversión,2025,841000000.0,841000000.0
Interior,37,Ministerio del interior,3701,Funcionamiento,2025,1111333500000.0,1111333500000.0
Interior,37,Ministerio del interior,3701,Inversión,2025,397622826322.0,397622826322.0
Interior,37,Unidad nacional de protección - unp,3708,Funcionamiento,2025,2681558502000.0,2681558502000.0
Interior,37,Unidad nacional de protección - unp,3708,Deuda,2025,7809482693.0,7809482693.0
Interior,37,Unidad nacional de protección - unp,3708,Inversión,2025,3000000000.0,3000000000.0
Justicia y del derecho,12,Instituto nacional penitenciario y carcelario - inpec,1208,Funcionamiento,2025,2162793720000.0,2162793720000.0
Justicia y del derecho,12,Instituto nacional penitenciario y carcelario - inpec,1208,Inversión,2025,6432700000.0,6432700000.0
Justicia y del derecho,12,Ministerio de justicia y del derecho,1201,Funcionamiento,2025,164176400000.0,164176400000.0
Justicia y del derecho,12,Ministerio de justicia y del derecho,1201,Inversión,2025,73125091530.0,73125091530.0
Justicia y del derecho,12,Superintendencia de notariado y registro,1204,Funcionamiento,2025,721531000000.0,721531000000.0
Justicia y del derecho,12,Superintendencia de notariado y registro,1204,Inversión,2025,297617170025.0,297617170025.0
