Año,Sector,Código de sector,Entidad,Código de entidad,Tipo de gasto,apropiacion_corrientes,Apropiación a precios corrientes,IPC,apropiacion_cons_2025,Apropiación a precios constantes (2025)
2013,Defensa y policía,15,Instituto casas fiscales del ejército,1507,Inversión,48316000000.0,48316000000.0,53.263251141718804,90711698899.94974,90711698899.94974
2013,Defensa y policía,15,"Defensa civil colombiana, guillermo león valencia",1508,Funcionamiento,22393573000.0,22393573000.0,53.263251141718804,42043195862.034195,42043195862.034195
2013,Defensa y policía,15,"Defensa civil colombiana, guillermo león valencia",1508,Inversión,1707000000.0,1707000000.0,53.263251141718804,3204836286.5761695,3204836286.5761695
2013,Defensa y policía,15,Club militar de oficiales,1510,Funcionamiento,36746653072.0,36746653072.0,53.263251141718804,68990631034.19524,68990631034.19524
2013,Defensa y policía,15,Caja de sueldos de retiro de la policía nacional,1511,Funcionamiento,2161155900000.0,2161155900000.0,53.263251141718804,4057499032963.198,4057499032963.198
2013,Defensa y policía,15,Caja de sueldos de retiro de la policía nacional,1511,Inversión,1950000000.0,1950000000.0,53.263251141718804,3661060784.313726,3661060784.313726
2013,Defensa y policía,15,Fondo rotatorio de la policía,1512,Funcionamiento,313287000000.0,313287000000.0,53.263251141718804,588186025607.8433,588186025607.8433
2013,Defensa y policía,15,Fondo rotatorio de la policía,1512,Inversión,8000000000.0,8000000000.0,53.263251141718804,15019736551.03067,15019736551.03067
2013,Defensa y policía,15,Superintendencia de vigilancia y seguridad privada,1516,Funcionamiento,10150100000.0,10150100000.0,53.263251141718804,19056478495.82705,19056478495.82705
2013,Defensa y policía,15,Superintendencia de vigilancia y seguridad privada,1516,Inversión,500000000.0,500000000.0,53.263251141718804,938733534.4394169,938733534.4394169
2013,Defensa y policía,15,Hospital militar,1519,Funcionamiento,205925008000.0,205925008000.0,53.263251141718804,386617421178.6104,386617421178.6104
2013,Defensa y policía,15,Hospital militar,1519,Inversión,9197000000.0,9197000000.0,53.263251141718804,17267064632.478634,17267064632.478634
2013,Defensa y policía,15,Agencia logística de las fuerzas militares,1520,Funcionamiento,952944357669.0,952944357669.0,53.263251141718804,1789121649997.4404,1789121649997.4404
2013,Defensa y policía,15,Agencia logística de las fuerzas militares,1520,Inversión,25800000000.0,25800000000.0,53.263251141718804,48438650377.07391,48438650377.07391
2013,Defensa y policía,15,Policía nacional,1601,Funcionamiento,6908123036777.0,6908123036777.0,53.263251141718804,12969773509312.062,12969773509312.062
2013,Defensa y policía,15,Policía nacional,1601,Inversión,432087000000.0,432087000000.0,53.263251141718804,811229113390.6487,811229113390.6487
2013,Agricultura y desarrollo rural,17,Ministerio de agricultura y desarrollo rural,1701,Funcionamiento,180864126000.0,180864126000.0,53.263251141718804,339566440506.55206,339566440506.55206
2013,Agricultura y desarrollo rural,17,Ministerio de agricultura y desarrollo rural,1701,Inversión,1408671305470.0,1408671305470.0,53.263251141718804,2644733986894.4814,2644733986894.4814
2013,Agricultura y desarrollo rural,17,Instituto colombiano agropecuario (ica),1702,Funcionamiento,93744772000.0,93744772000.0,53.263251141718804,176002722309.55457,176002722309.55457
2013,Agricultura y desarrollo rural,17,Instituto colombiano agropecuario (ica),1702,Deuda,238960000.0,238960000.0,53.263251141718804,448639530.77928615,448639530.77928615
2013,Agricultura y desarrollo rural,17,Instituto colombiano agropecuario (ica),1702,Inversión,169449000000.0,169449000000.0,53.263251141718804,318134917354.4495,318134917354.4495
2013,Agricultura y desarrollo rural,17,Instituto colombiano de desarrollo rural - incoder en liquidación,1713,Funcionamiento,50969057000.0,50969057000.0,53.263251141718804,95692726049.30821,95692726049.30821
2013,Agricultura y desarrollo rural,17,Instituto colombiano de desarrollo rural - incoder en liquidación,1713,Deuda,51000000.0,51000000.0,53.263251141718804,95750820.51282053,95750820.51282053
2013,Agricultura y desarrollo rural,17,Instituto colombiano de desarrollo rural - incoder en liquidación,1713,Inversión,446764000000.0,446764000000.0,53.263251141718804,838784697560.5833,838784697560.5833
2013,Agricultura y desarrollo rural,17,Autoridad nacional de acuicultura y pesca - aunap,1715,Funcionamiento,10066545000.0,10066545000.0,53.263251141718804,18899606734.88688,18899606734.88688
2013,Agricultura y desarrollo rural,17,Autoridad nacional de acuicultura y pesca - aunap,1715,Inversión,9869707320.0,9869707320.0,53.263251141718804,18530050472.77237,18530050472.77237
2013,Agricultura y desarrollo rural,17,Unidad administrativa especial de gestión de restitución de tierras despojadas,1716,Funcionamiento,48835000000.0,48835000000.0,53.263251141718804,91686104308.69785,91686104308.69785
2013,Agricultura y desarrollo rural,17,Unidad administrativa especial de gestión de restitución de tierras despojadas,1716,Inversión,202918632770.0,202918632770.0,53.263251141718804,380973050687.59235,380973050687.59235
2013,Salud y protección social,19,Ministerio de salud y protección social,1901,Funcionamiento,6976310393341.0,6976310393341.0,53.263251141718804,13097793025774.871,13097793025774.871
2013,Salud y protección social,19,Ministerio de salud y protección social,1901,Inversión,3508640585375.0,3508640585375.0,53.263251141718804,6587357155573.316,6587357155573.316
2013,Salud y protección social,19,Instituto nacional de salud (ins),1903,Funcionamiento,29997173076.0,29997173076.0,53.263251141718804,56318704609.64879,56318704609.64879
2013,Salud y protección social,19,Instituto nacional de salud (ins),1903,Inversión,37395759708.0,37395759708.0,53.263251141718804,70209307367.47595,70209307367.47595
2013,Salud y protección social,19,Superintendencia nacional de salud,1910,Funcionamiento,72544600000.0,72544600000.0,53.263251141718804,136200097524.98744,136200097524.98744
2013,Salud y protección social,19,Superintendencia nacional de salud,1910,Inversión,31623727546.0,31623727546.0,53.263251141718804,59372507062.811455,59372507062.811455
2013,Salud y protección social,19,Instituto nacional de vigilancia de medicamentos y alimentos - invima,1912,Funcionamiento,97653500000.0,97653500000.0,53.263251141718804,183341230410.7592,183341230410.7592
2013,Salud y protección social,19,Instituto nacional de vigilancia de medicamentos y alimentos - invima,1912,Inversión,59990871333.0,59990871333.0,53.263251141718804,112630885361.05476,112630885361.05476
2013,Salud y protección social,19,Fondo de previsión social del congreso,1913,Funcionamiento,318542901000.0,318542901000.0,53.263251141718804,598053806652.6305,598053806652.6305
2013,Salud y protección social,19,Fondo de previsión social del congreso,1913,Inversión,636600000.0,636600000.0,53.263251141718804,1195195536.0482657,1195195536.0482657
2013,Salud y protección social,19,Fondo pasivo social de ferrocarriles nacionales de colombia,1914,Funcionamiento,416498052456.0,416498052456.0,53.263251141718804,781961377738.3091,781961377738.3091
2013,Salud y protección social,19,Unidad administrativa especial comisión de regulación en salud - cres,1915,Funcionamiento,10484091000.0,10484091000.0,53.263251141718804,19683535599.62896,19683535599.62896
2013,Salud y protección social,19,Unidad administrativa especial comisión de regulación en salud - cres,1915,Inversión,6945000000.0,6945000000.0,53.263251141718804,13039008793.3635,13039008793.3635
