Año,Sector,Código de sector,Entidad,Código de entidad,Tipo de gasto,apropiacion_corrientes,apropiacion_cons_2024,Apropiación a precios corrientes en millones,Apropiación a precios constantes (2024) en millones
2013,Defensa y policía,15,Policía nacional,1601,Inversion,432087000000,762421801921.8448,432087.0,762421.8
2013,Agricultura y desarrollo rural,17,Ministerio de agricultura y desarrollo rural,1701,Funcionamiento,180864126000,319136546223.1902,180864.13,319136.55
2013,Agricultura y desarrollo rural,17,Ministerio de agricultura y desarrollo rural,1701,Inversion,1408671305470,2485614505949.114,1408671.31,2485614.51
2013,Agricultura y desarrollo rural,17,Instituto colombiano agropecuario (ica),1702,Funcionamiento,93744772000,165413581035.7463,93744.77,165413.58
2013,Agricultura y desarrollo rural,17,Instituto colombiano agropecuario (ica),1702,Deuda,238960000,421647292.7610506,238.96,421.65
2013,Agricultura y desarrollo rural,17,Instituto colombiano agropecuario (ica),1702,Inversion,169449000000,298994443049.3273,169449.0,298994.44
2013,Agricultura y desarrollo rural,17,Instituto colombiano de desarrollo rural - incoder en liquidación,1713,Funcionamiento,50969057000,89935407175.40038,50969.06,89935.41
2013,Agricultura y desarrollo rural,17,Instituto colombiano de desarrollo rural - incoder en liquidación,1713,Deuda,51000000,89990006.4061499,51.0,89.99
2013,Agricultura y desarrollo rural,17,Instituto colombiano de desarrollo rural - incoder en liquidación,1713,Inversion,446764000000,788319514157.5912,446764.0,788319.51
2013,Agricultura y desarrollo rural,17,Autoridad nacional de acuicultura y pesca - aunap,1715,Funcionamiento,10066545000,17762518608.58424,10066.54,17762.52
2013,Agricultura y desarrollo rural,17,Autoridad nacional de acuicultura y pesca - aunap,1715,Inversion,9869707320,17415196567.71813,9869.71,17415.2
2013,Agricultura y desarrollo rural,17,Unidad administrativa especial de gestión de restitución de tierras despojadas,1716,Funcionamiento,48835000000,86169842408.71236,48835.0,86169.84
2013,Agricultura y desarrollo rural,17,Unidad administrativa especial de gestión de restitución de tierras despojadas,1716,Inversion,202918632770,358051942409.7937,202918.63,358051.94
2013,Salud y protección social,19,Ministerio de salud y protección social,1901,Funcionamiento,6976310393341,12309768960549.94,6976310.39,12309768.96
2013,Salud y protección social,19,Ministerio de salud y protección social,1901,Inversion,3508640585375,6191031152054.388,3508640.59,6191031.15
2013,Salud y protección social,19,Instituto nacional de salud (ins),1903,Funcionamiento,29997173076,52930309750.50249,29997.17,52930.31
2013,Salud y protección social,19,Instituto nacional de salud (ins),1903,Inversion,37395759708,65985189327.17181,37395.76,65985.19
2013,Salud y protección social,19,Superintendencia nacional de salud,1910,Funcionamiento,72544600000,128005667033.9526,72544.6,128005.67
2013,Salud y protección social,19,Superintendencia nacional de salud,1910,Inversion,31623727546,55800381263.74272,31623.73,55800.38
2013,Salud y protección social,19,Instituto nacional de vigilancia de medicamentos y alimentos - invima,1912,Funcionamiento,97653500000,172310570403.5874,97653.5,172310.57
2013,Salud y protección social,19,Instituto nacional de vigilancia de medicamentos y alimentos - invima,1912,Inversion,59990871333,105854488148.3762,59990.87,105854.49
2013,Salud y protección social,19,Fondo de previsión social del congreso,1913,Funcionamiento,318542901000,562072111796.5406,318542.9,562072.11
2013,Salud y protección social,19,Fondo de previsión social del congreso,1913,Inversion,636600000,1123287021.140295,636.6,1123.29
2013,Salud y protección social,19,Fondo pasivo social de ferrocarriles nacionales de colombia,1914,Funcionamiento,416498052456,734914949189.4979,416498.05,734914.95
2013,Salud y protección social,19,Unidad administrativa especial comisión de regulación en salud - cres,1915,Funcionamiento,10484091000,18499282671.62075,10484.09,18499.28
2013,Salud y protección social,19,Unidad administrativa especial comisión de regulación en salud - cres,1915,Inversion,6945000000,12254521460.60218,6945.0,12254.52
2013,Minas y energía,21,Ministerio de minas y energía,2101,Funcionamiento,59648400000,105250194080.7175,59648.4,105250.19
2013,Minas y energía,21,Ministerio de minas y energía,2101,Inversion,2596610450000,4581744922152.466,2596610.45,4581744.92
2013,Minas y energía,21,Servicio geológico colombiano,2103,Funcionamiento,36702300000,64761572786.6752,36702.3,64761.57
2013,Minas y energía,21,Servicio geológico colombiano,2103,Inversion,133653400000,235832751415.7591,133653.4,235832.75
2013,Minas y energía,21,Unidad de planeación minero energética - upme,2109,Funcionamiento,10952601000,19325973218.70596,10952.6,19325.97
2013,Minas y energía,21,Unidad de planeación minero energética - upme,2109,Inversion,30742260000,54245023026.26521,30742.26,54245.02
