TOTAL,Código de entidad,Tipo de gasto,Código de sector,Sector,Entidad,Año
38833930000,2308,Funcionamiento,23,Tecnologías de la información y las comunicaciones,Unidad administrativa especial comisión de regulación de las comunicaciones ,2025
18016917000,2308,Inversión,23,Tecnologías de la información y las comunicaciones,Unidad administrativa especial comisión de regulación de las comunicaciones ,2025
22024741401,2309,Funcionamiento,23,Tecnologías de la información y las comunicaciones,Agencia nacional del espectro - ane,2025
27314426599,2309,Inversión,23,Tecnologías de la información y las comunicaciones,Agencia nacional del espectro - ane,2025
27442872600,2311,Funcionamiento,23,Tecnologías de la información y las comunicaciones,Computadores para educar cpe,2025
147562268400,2311,Inversión,23,Tecnologías de la información y las comunicaciones,Computadores para educar cpe,2025
5231290000,2312,Funcionamiento,23,Tecnologías de la información y las comunicaciones,Corporación agencia nacional de gobierno digital - and,2025
131722000296,2312,Inversión,23,Tecnologías de la información y las comunicaciones,Corporación agencia nacional de gobierno digital - and,2025
315303412000,2401,Funcionamiento,24,Transporte,Ministerio de transporte,2025
6797215826,2401,Deuda,24,Transporte,Ministerio de transporte,2025
129575000000,2401,Inversión,24,Transporte,Ministerio de transporte,2025
220812175000,2402,Funcionamiento,24,Transporte,Instituto nacional de vías,2025
601876014,2402,Deuda,24,Transporte,Instituto nacional de vías,2025
3464357634368,2402,Inversión,24,Transporte,Instituto nacional de vías,2025
837409834774,2412,Funcionamiento,24,Transporte,Unidad administrativa especial de la aeronáutica civil,2025
2283951000000,2412,Inversión,24,Transporte,Unidad administrativa especial de la aeronáutica civil,2025
134319232110,2413,Funcionamiento,24,Transporte,Agencia nacional de infraestructura,2025
2013839757091,2413,Deuda,24,Transporte,Agencia nacional de infraestructura,2025
7382206818592,2413,Inversión,24,Transporte,Agencia nacional de infraestructura,2025
18098365000,2414,Funcionamiento,24,Transporte,Unidad de planeación del sector de infraestructura de transporte,2025
16500000000,2414,Inversión,24,Transporte,Unidad de planeación del sector de infraestructura de transporte,2025
1407199000,2415,Funcionamiento,24,Transporte,Comisión de regulación de infraestructura y transporte,2025
29644186000,2416,Funcionamiento,24,Transporte,Agencia nacional de seguridad vial,2025
174455608437,2416,Inversión,24,Transporte,Agencia nacional de seguridad vial,2025
60447831028,2417,Funcionamiento,24,Transporte,Superintendencia de puertos y transporte,2025
37067526073,2417,Inversión,24,Transporte,Superintendencia de puertos y transporte,2025
1347128000000,2501,Funcionamiento,25,Organismos de control,Procuraduría general de la nación,2025
96802000000,2501,Inversión,25,Organismos de control,Procuraduría general de la nación,2025
1130439000000,2502,Funcionamiento,25,Organismos de control,Defensoría del pueblo,2025
122300000000,2502,Inversión,25,Organismos de control,Defensoría del pueblo,2025
1307041000000,2601,Funcionamiento,26,Organismos de control,Contraloría general de la república,2025
186701326884,2601,Inversión,26,Organismos de control,Contraloría general de la república,2025
148098000000,2602,Funcionamiento,26,Organismos de control,Fondo de bienestar social de la contraloría general de la república,2025
898818033,2602,Inversión,26,Organismos de control,Fondo de bienestar social de la contraloría general de la república,2025
9097188000000,2701,Funcionamiento,27,Rama judicial,Rama judicial,2025
17695578134,2701,Deuda,27,Rama judicial,Rama judicial,2025
1300000000000,2701,Inversión,27,Rama judicial,Rama judicial,2025
573522107559,2801,Funcionamiento,28,Registraduría,Registraduría nacional del estado civil,2025
